provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;1;28102001_1_38;2017;1;1;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V
28;102;1;6;28102001_6_48;2017;1;1;0,3;V;0,3;V;0,2;V;0,3;V;0,2;V;0,2;V;0,2;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V
28;102;1;7;28102001_7_8;2017;1;1;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V
28;102;1;8;28102001_8_8;2017;1;1;5,0;V;5,0;V;5,0;V;5,0;V;4,0;V;4,0;V;4,0;V;4,0;V;4,0;V;4,0;V;5,0;V;5,0;V;4,0;V;4,0;V;4,0;V;4,0;V;3,0;V;4,0;V;4,0;V;3,0;V;3,0;V;4,0;V;4,0;V;3,0;V
28;102;1;10;28102001_10_49;2017;1;1;21,0;V;19,0;V;17,0;V;16,0;V;14,0;V;27,0;V;14,0;V;7,0;V;2,0;V;5,0;V;14,0;V;14,0;V;10,0;V;6,0;V;6,0;V;14,0;V;13,0;V;16,0;V;27,0;V;21,0;V;15,0;V;6,0;V;10,0;V;12,0;V
28;102;1;12;28102001_12_8;2017;1;1;7,0;V;7,0;V;7,0;V;7,0;V;6,0;V;6,0;V;6,0;V;6,0;V;6,0;V;6,0;V;7,0;V;7,0;V;6,0;V;6,0;V;6,0;V;6,0;V;5,0;V;6,0;V;6,0;V;5,0;V;5,0;V;6,0;V;6,0;V;5,0;V
28;102;1;14;28102001_14_6;2017;1;1;50,0;V;54,0;V;50,0;V;49,0;V;49,0;V;48,0;V;47,0;V;42,0;V;37,0;V;41,0;V;44,0;V;47,0;V;68,0;V;74,0;V;70,0;V;71,0;V;71,0;V;66,0;V;57,0;V;59,0;V;53,0;V;47,0;V;49,0;V;57,0;V
28;123;2;7;28123002_7_8;2017;1;1;60,0;V;69,0;V;28,0;V;24,0;V;15,0;V;22,0;V;15,0;V;15,0;V;13,0;V;18,0;V;33,0;V;22,0;V;9,0;V;5,0;V;2,0;V;2,0;V;2,0;V;53,0;V;161,0;V;212,0;V;53,0;V;6,0;V;5,0;V;4,0;V
28;123;2;8;28123002_8_8;2017;1;1;51,0;V;54,0;V;41,0;V;39,0;V;37,0;V;39,0;V;38,0;V;37,0;V;33,0;V;30,0;V;32,0;V;30,0;V;21,0;V;17,0;V;13,0;V;15,0;V;22,0;V;67,0;V;99,0;V;86,0;V;58,0;V;36,0;V;39,0;V;31,0;V
28;123;2;10;28123002_10_49;2017;1;1;46,0;V;40,0;V;32,0;V;28,0;V;22,0;V;18,0;V;19,0;V;7,0;V;15,0;V;15,0;V;10,0;V;18,0;V;11,0;V;19,0;V;11,0;V;8,0;V;5,0;V;6,0;V;27,0;V;41,0;V;87,0;V;22,0;V;12,0;V;8,0;V
28;123;2;12;28123002_12_8;2017;1;1;143,0;V;160,0;V;84,0;V;76,0;V;60,0;V;73,0;V;61,0;V;60,0;V;53,0;V;58,0;V;83,0;V;64,0;V;35,0;V;25,0;V;16,0;V;18,0;V;25,0;V;148,0;V;346,0;V;411,0;V;139,0;V;45,0;V;47,0;V;37,0;V
28;123;2;14;28123002_14_6;2017;1;1;2,0;V;2,0;V;2,0;V;2,0;V;2,0;V;1,0;V;2,0;V;2,0;V;5,0;V;7,0;V;4,0;V;12,0;V;19,0;V;29,0;V;53,0;V;54,0;V;48,0;V;13,0;V;5,0;V;13,0;V;5,0;V;19,0;V;20,0;V;23,0;V
28;123;2;14;28123002_14_8;2017;1;1;1,0;V;1,0;V;1,0;V;1,0;V;2,0;V;1,0;V;2,0;V;2,0;V;5,0;V;7,0;V;4,0;V;11,0;V;19,0;V;29,0;V;53,0;V;55,0;V;49,0;V;11,0;V;1,0;V;1,0;V;4,0;V;20,0;V;20,0;V;23,0;V
28;13;2;7;28013002_7_8;2017;1;1;6,0;V;4,0;V;3,0;V;4,0;V;3,0;V;5,0;V;2,0;V;1,0;V;1,0;V;7,0;V;13,0;V;9,0;V;9,0;V;1,0;V;1,0;V;1,0;V;1,0;V;11,0;V;6,0;V;2,0;V;1,0;V;1,0;V;1,0;V;1,0;V
28;13;2;8;28013002_8_8;2017;1;1;11,0;V;11,0;V;12,0;V;11,0;V;11,0;V;12,0;V;8,0;V;10,0;V;9,0;V;12,0;V;14,0;V;14,0;V;19,0;V;6,0;V;4,0;V;6,0;V;13,0;V;45,0;V;41,0;V;17,0;V;15,0;V;12,0;V;9,0;V;6,0;V
